Date,Suhu_Rata_rata,Kelembaban_Rata_rata,Curah_Hujan,Kecepatan_Angin_Rata_rata
2014-12-11,25.6,84,65,4
2014-12-12,28.2,75,16,2
2014-12-13,28.3,79,0,2
2014-12-14,28.9,79,0,2
2014-12-15,28.2,75,1,2
2014-12-16,28,84,14,3
2014-12-17,28.1,82,32,5
2014-12-18,28.4,80,0,4
2014-12-19,27.5,86,48,2
2014-12-20,28.5,83,0,2
2014-12-21,27.9,82,46,3
2014-12-22,28.3,83,8888,2
2014-12-23,28.6,80,0,2
2014-12-24,28.2,83,8888,2
2014-12-25,28.3,85,41,2
2014-12-26,27.5,87,8888,3
2014-12-27,28.2,81,45,3
2014-12-28,28.3,83,0,5
2014-12-29,27.8,84,7,3
2014-12-30,27.8,80,24,4
2014-12-31,28.5,79,0,4
2015-01-01,27.6,84,17.7,5
2015-01-02,27,84,11.9,8
2015-01-03,28.2,78,6,6
2015-01-04,29,74,4.4,5
2015-01-05,28.4,78,2.2,5
2015-01-06,28.3,77,9999,6
2015-01-07,28.1,78,8888,8
2015-01-08,29,77,0.5,8
2015-01-09,29.4,71,0,8
2015-01-10,29,76,1.6,7
2015-01-11,29.2,72,0,5
2015-01-12,26.8,81,7.1,3
2015-01-13,27.3,86,49.3,3
2015-01-14,27.6,81,4.6,5
2015-01-15,25,90,54.4,3
2015-01-16,27.1,78,8.2,2
2015-01-17,27.6,78,0,2
2015-01-18,26.7,86,8888,4
2015-01-19,27,86,2.6,4
2015-01-20,26.3,86,23.9,4
2015-01-21,27.5,85,12.1,3
2015-01-22,27.9,82,0.4,4
2015-01-23,28,81,16.2,4
2015-01-24,27.6,83,1.9,6
2015-01-25,28.3,81,19,5
2015-01-26,28.2,81,18.2,4
2015-01-27,28.8,80,0,6
2015-01-28,28.5,83,7.8,3
2015-01-29,28.2,83,14.4,3
2015-01-30,27,88,5.2,3
2015-01-31,27.6,80,21,3
2015-02-01,27.8,79,15.4,2
2015-02-02,27.3,81,11.3,2
2015-02-03,27.4,76,0,2
2015-02-04,26.9,78,0,2
2015-02-05,27.6,76,0.2,2
2015-02-06,27.9,76,0,2
2015-02-07,27.5,77,0,2
2015-02-08,27.2,78,8888,2
2015-02-09,28.2,82,0,3
2015-02-10,27.6,82,1.4,2
2015-02-11,27.6,83,2.1,4
2015-02-12,27.5,81,40.2,3
2015-02-13,27.7,85,0.2,3
2015-02-14,27.4,83,0.2,2
2015-02-15,27.8,77,10.8,2
2015-02-16,28.1,77,0,2
2015-02-17,27.6,80,4.7,2
2015-02-18,27.1,85,8888,2
2015-02-19,27.8,79,3,2
2015-02-20,28.5,80,6.1,7
2015-02-21,27.6,81,0.1,5
2015-02-22,28.4,76,4.9,3
2015-02-23,27.5,79,0,3
2015-02-24,27.9,82,59.4,4
2015-02-25,27.1,82,16.9,3
2015-02-26,27.3,81,0.7,3
2015-02-27,27.9,80,0.6,2
2015-02-28,27.9,81,1.1,2
2015-03-01,27.5,82,8.4,2
2015-03-02,27.7,78,2.1,3
2015-03-03,26.9,83,11.9,2
2015-03-04,27.4,85,19.9,5
2015-03-05,27.9,82,7.5,6
2015-03-06,25.9,86,47.6,5
2015-03-07,26.1,86,84.1,2
2015-03-08,27,86,8888,2
2015-03-09,27.6,85,0.2,3
2015-03-10,28.1,80,32.7,4
2015-03-11,27.4,83,37,4
2015-03-12,27.3,83,15.3,3
2015-03-13,26.9,83,13.1,2
2015-03-14,27.8,82,8888,2
